PLAZA,CR TIENDA,DESC_TIENDA,MONTO SIN IMPUESTOS ,MONTO CON IMPUESTOS 
10CAN Campeche,50TE1,Imi CUN,500,592.5
10CAN Campeche,50TST,Sol Caucel MID,50,59.25
10CAN Campeche,50U06,Pedregales de Caucel MID,300,355.5
10CAN Campeche,50U6K,Fovi MID,50,59.25
10CAN Campeche,50U9R,Gas Obrera MID,200,237
10CAN Campeche,50UHS,San Benito MID,100,118.5
10CAN Campeche,50UN3,Kinha MID,100,118.5
10CAN Campeche,50UN5,Serapio Rendon MID,100,118.5
10CAN Campeche,50URD,Lopez Portillo MID,100,118.5
10CAN Campeche,50VGB,Villamagna MID,100,118.5
10CAN Campeche,50VGL,Vergel II MID,250,296.25
10CAN Campeche,50VWN,Villamagna Sur MID,150,177.75
10CAN Campeche,50WAI,Arboleda MID,250,296.25
10CAN Campeche,50XQS,Animaya MID,50,59.25
10CAN Campeche,50XSP,Concordia MID,100,118.5
10CAN Campeche,50XZ5,Av. Xoclan MID,50,59.25
10CAN Campeche,50Y95,IMMSS Uman MID,250,296.25
10CAN Campeche,50YM9,Gas San Gabriel MID,100,118.5
10CAN Campeche,50ZLI,Libertad MID,50,59.25
10CAN Campeche,50ZM1,Mercado Uman CUN,150,177.75
10CAN Campeche,50ZR1,Diamante Opichen CUN,50,59.25
10CAN Campeche,50ZS0,Seybaplaya,150,177.75
10CAN PlayaDelCarmen,500BG,Atenas CUN,200,237
10CAN PlayaDelCarmen,500LK,Camacho CUN,50,59.25
10CAN PlayaDelCarmen,500NI,Tepich CUN,100,118.5
10CAN PlayaDelCarmen,500PX,Bonanza CUN,50,59.25
10CAN PlayaDelCarmen,501IR,Aldea Turquesa CUN,100,118.5
10CAN PlayaDelCarmen,501VY,Alondra CUN,50,59.25
10CAN PlayaDelCarmen,501Z9,Bahia Principe CUN,350,414.75
10CAN PlayaDelCarmen,502UE,Thula CUN,500,592.5
10CAN PlayaDelCarmen,5035V,Madeiros CUN,100,118.5
10CAN PlayaDelCarmen,503JG,Conchos CUN,50,59.25
10CAN PlayaDelCarmen,5040X,Libramiento CUN,200,237
10CAN PlayaDelCarmen,504CW,Conchal CUN,50,59.25
10CAN PlayaDelCarmen,505JD,Zama Tower CUN,405,479.925
10CAN PlayaDelCarmen,505KG,Herradura CUN,150,177.75
10CAN PlayaDelCarmen,505W4,Ciruelos CUN,90,106.65
10CAN PlayaDelCarmen,506IP,Zama Plus CUN,225,266.625
10CAN PlayaDelCarmen,506Y2,Lagos Del Sol CUN,50,59.25
10CAN PlayaDelCarmen,506ZI,Piedra Escondida CUN,50,59.25
10CAN PlayaDelCarmen,5072Y,Amalfi CUN,50,59.25
10CAN PlayaDelCarmen,5077N,Pelicanos CUN,540,639.9
10CAN PlayaDelCarmen,507D1,Barracuda CUN,100,118.5
10CAN PlayaDelCarmen,508N4,Mallorca CUN,50,59.25
10CAN PlayaDelCarmen,509WQ,Sierra Madre,315,373.275
10CAN PlayaDelCarmen,509YG,Marinos CUN,50,59.25
10CAN PlayaDelCarmen,50A0M,Montreal CUN,50,59.25
10CAN PlayaDelCarmen,50A7B,Bahia Langosta CUN,50,59.25
10CAN PlayaDelCarmen,50AKQ,Paseo del Carmen CUN,540,639.9
10CAN PlayaDelCarmen,50AOR,Timon CUN,90,106.65
10CAN PlayaDelCarmen,50ASW,Las Americas CUN,630,746.55
10CAN PlayaDelCarmen,50AUT,Acuario CUN,100,118.5
10CAN PlayaDelCarmen,50B3I,Pardillos CUN,150,177.75
10CAN PlayaDelCarmen,50BBL,Bosque Real II CUN,100,118.5
10CAN PlayaDelCarmen,50BGD,Veracruz CUN,100,118.5
10CAN PlayaDelCarmen,50BJL,San Salvador CUN,150,177.75
10CAN PlayaDelCarmen,50CCQ,Cumbres CUN,135,159.975
10CAN PlayaDelCarmen,50CMY,Manati CUN,150,177.75
10CAN PlayaDelCarmen,50DME,Satelite CUN,100,118.5
10CAN PlayaDelCarmen,50DOO,Doce CUN,45,53.325
10CAN PlayaDelCarmen,50DQR,AZULEJOS CUN,100,118.5
10CAN PlayaDelCarmen,50EBF,Bacalar CUN,50,59.25
10CAN PlayaDelCarmen,50EGQ,Obregon CUN,150,177.75
10CAN PlayaDelCarmen,50EGS,Pioneros CUN,50,59.25
10CAN PlayaDelCarmen,50EGW,Maestros CUN,135,159.975
10CAN PlayaDelCarmen,50EGZ,Flamingos CUN,45,53.325
10CAN PlayaDelCarmen,50FCG,Primera Sur CUN,90,106.65
10CAN PlayaDelCarmen,50FKG,Centro Norte CUN,45,53.325
10CAN PlayaDelCarmen,50FOD,Gavilanes CUN,50,59.25
10CAN PlayaDelCarmen,50FPS,Fundadores CUN,150,177.75
10CAN PlayaDelCarmen,50FQG,Arquitectos CUN,50,59.25
10CAN PlayaDelCarmen,50FYR,Carabela CUN,50,59.25
10CAN PlayaDelCarmen,50GIG,Agua Azul CUN,50,59.25
10CAN PlayaDelCarmen,50HL7,Pargo CUN,50,59.25
10CAN PlayaDelCarmen,50HPY,Playa CUN,100,118.5
10CAN PlayaDelCarmen,50I7V,Edenn CUN,150,177.75
10CAN PlayaDelCarmen,50I8E,Baleares CUN,50,59.25
10CAN PlayaDelCarmen,50IEB,Alfa CUN,100,118.5
10CAN PlayaDelCarmen,50IJB,Balamtun CUN,810,959.85
10CAN PlayaDelCarmen,50IJY,Cocoteros CAN,50,59.25
10CAN PlayaDelCarmen,50IKI,Olivo CUN,50,59.25
10CAN PlayaDelCarmen,50IQ7,Capri CUN,225,266.625
10CAN PlayaDelCarmen,50IV9,Laguna Azul CUN,100,118.5
10CAN PlayaDelCarmen,50JCA,Islazul CUN,270,319.95
10CAN PlayaDelCarmen,50JEB,Villas del Sol CUN,100,118.5
10CAN PlayaDelCarmen,50JEU,Cantil CUN,50,59.25
10CAN PlayaDelCarmen,50JPG,Delfinario CUN,1710,2026.35
10CAN PlayaDelCarmen,50JX5,Centinela CUN,100,118.5
10CAN PlayaDelCarmen,50JZ2,Kahlua CUN,540,639.9
10CAN PlayaDelCarmen,50JZS,Juarez CUN,90,106.65
10CAN PlayaDelCarmen,50KIQ,Aventuras CUN,50,59.25
10CAN PlayaDelCarmen,50KQY,Cataluna CUN,45,53.325
10CAN PlayaDelCarmen,50KSY,Colosio CUN,855,1013.175
10CAN PlayaDelCarmen,50LAY,Playcar CUN,1530,1813.05
10CAN PlayaDelCarmen,50LJ1,Sirenas CUN,800,948
10CAN PlayaDelCarmen,50LTK,La Toscana CUN,50,59.25
10CAN PlayaDelCarmen,50LZV,Boca Paila CUN,360,426.6
10CAN PlayaDelCarmen,50M1Z,Mercurio CUN,50,59.25
10CAN PlayaDelCarmen,50M2Z,Palermo CUN,200,237
10CAN PlayaDelCarmen,50MR4,Pedregal CUN,200,237
10CAN PlayaDelCarmen,50MU0,Copacabana CUN,200,237
10CAN PlayaDelCarmen,50NMG,Geminis CUN,945,1119.825
10CAN PlayaDelCarmen,50NMO,Trebol CUN,50,59.25
10CAN PlayaDelCarmen,50NSB,Veintiseis CUN,135,159.975
10CAN PlayaDelCarmen,50NSZ,4 de Marzo CUN,50,59.25
10CAN PlayaDelCarmen,50OHS,GOLF DRIVE CUN,360,426.6
10CAN PlayaDelCarmen,50OLY,Torero CUN,900,1066.5
10CAN PlayaDelCarmen,50PF1,Colegio CUN,45,53.325
10CAN PlayaDelCarmen,50PHY,Gobernante CUN,50,59.25
10CAN PlayaDelCarmen,50Q5N,Opalo CUN,50,59.25
10CAN PlayaDelCarmen,50R66,De las Garzas CUN,100,118.5
10CAN PlayaDelCarmen,50RCV,Riviera CUN,360,426.6
10CAN PlayaDelCarmen,50RJC,Cruz Roja CUN,150,177.75
10CAN PlayaDelCarmen,50S6D,Bohemio CUN,180,213.3
10CAN PlayaDelCarmen,50SCQ,San Carlos CUN,495,586.575
10CAN PlayaDelCarmen,50SFH,Villas Morelos CUN,100,118.5
