Tienda,CR Tienda,Plaza.,CR Plaza,CERVEZA
Las Americas CUN,50ASW,10CAN PlayaDelCarmen,10CAN,2
Acuario CUN,50AUT,10CAN PlayaDelCarmen,10CAN,2
Pardillos CUN,50B3I,10CAN PlayaDelCarmen,10CAN,2
Bosque Real II CUN,50BBL,10CAN PlayaDelCarmen,10CAN,2
Veracruz CUN,50BGD,10CAN PlayaDelCarmen,10CAN,2
San Salvador CUN,50BJL,10CAN PlayaDelCarmen,10CAN,2
Cumbres CUN,50CCQ,10CAN PlayaDelCarmen,10CAN,2
Manati CUN,50CMY,10CAN PlayaDelCarmen,10CAN,2
Satelite CUN,50DME,10CAN PlayaDelCarmen,10CAN,2
Doce CUN,50DOO,10CAN PlayaDelCarmen,10CAN,2
AZULEJOS CUN,50DQR,10CAN PlayaDelCarmen,10CAN,2
Bacalar CUN,50EBF,10CAN PlayaDelCarmen,10CAN,2
Obregon CUN,50EGQ,10CAN PlayaDelCarmen,10CAN,2
Pioneros CUN,50EGS,10CAN PlayaDelCarmen,10CAN,2
Maestros CUN,50EGW,10CAN PlayaDelCarmen,10CAN,2
Flamingos CUN,50EGZ,10CAN PlayaDelCarmen,10CAN,2
Primera Sur CUN,50FCG,10CAN PlayaDelCarmen,10CAN,2
Centro Norte CUN,50FKG,10CAN PlayaDelCarmen,10CAN,2
Gavilanes CUN,50FOD,10CAN PlayaDelCarmen,10CAN,2
Fundadores CUN,50FPS,10CAN PlayaDelCarmen,10CAN,2
Arquitectos CUN,50FQG,10CAN PlayaDelCarmen,10CAN,2
Carabela CUN,50FYR,10CAN PlayaDelCarmen,10CAN,2
Agua Azul CUN,50GIG,10CAN PlayaDelCarmen,10CAN,2
Pargo CUN,50HL7,10CAN PlayaDelCarmen,10CAN,2
Playa CUN,50HPY,10CAN PlayaDelCarmen,10CAN,2
Edenn CUN,50I7V,10CAN PlayaDelCarmen,10CAN,2
Baleares CUN,50I8E,10CAN PlayaDelCarmen,10CAN,2
Alfa CUN,50IEB,10CAN PlayaDelCarmen,10CAN,2
Balamtun CUN,50IJB,10CAN PlayaDelCarmen,10CAN,2
Cocoteros CAN,50IJY,10CAN PlayaDelCarmen,10CAN,2
Olivo CUN,50IKI,10CAN PlayaDelCarmen,10CAN,2
Capri CUN,50IQ7,10CAN PlayaDelCarmen,10CAN,2
Laguna Azul CUN,50IV9,10CAN PlayaDelCarmen,10CAN,2
Islazul CUN,50JCA,10CAN PlayaDelCarmen,10CAN,2
Villas del Sol CUN,50JEB,10CAN PlayaDelCarmen,10CAN,2
Cantil CUN,50JEU,10CAN PlayaDelCarmen,10CAN,2
Delfinario CUN,50JPG,10CAN PlayaDelCarmen,10CAN,2
Centinela CUN,50JX5,10CAN PlayaDelCarmen,10CAN,2
